timestamp,mode,result,steps,target_color,cup_init_x,cup_init_y,cup_init_z
2026-02-09 00:15:03,arm,success,193,blue,0.328699,0.120237,0.845000
2026-02-09 00:16:03,arm,fail,572,unknown,nan,nan,nan
2026-02-09 00:16:32,arm,success,259,red,0.230102,0.097741,0.845000
2026-02-09 00:17:32,arm,fail,580,unknown,nan,nan,nan
2026-02-09 00:18:32,arm,fail,576,unknown,nan,nan,nan
2026-02-09 00:18:55,arm,success,207,red,0.217019,0.124108,0.845000
2026-02-09 00:19:19,arm,success,208,red,0.186529,0.166454,0.845000
2026-02-09 00:20:19,arm,fail,571,unknown,nan,nan,nan
2026-02-09 00:21:19,arm,fail,571,unknown,nan,nan,nan
2026-02-09 00:22:19,arm,fail,566,unknown,nan,nan,nan
2026-02-09 00:23:20,arm,fail,572,unknown,nan,nan,nan
2026-02-09 00:24:20,arm,fail,566,unknown,nan,nan,nan
2026-02-09 00:25:20,arm,fail,576,unknown,nan,nan,nan
2026-02-09 00:26:21,arm,fail,576,unknown,nan,nan,nan
2026-02-09 00:27:21,arm,fail,559,unknown,nan,nan,nan
2026-02-09 00:28:21,arm,fail,557,unknown,nan,nan,nan
2026-02-09 00:29:21,arm,fail,576,unknown,nan,nan,nan
2026-02-09 00:29:43,arm,success,195,red,0.237358,0.078493,0.845000
2026-02-09 00:30:43,arm,fail,575,unknown,nan,nan,nan
2026-02-09 00:31:09,arm,success,229,blue,0.268554,0.224452,0.845000
2026-02-09 00:32:09,arm,fail,571,unknown,nan,nan,nan
2026-02-09 00:32:34,arm,success,225,blue,0.274713,0.216870,0.845000
2026-02-09 00:33:35,arm,fail,575,unknown,nan,nan,nan
2026-02-09 00:33:58,arm,success,208,blue,0.314979,0.152606,0.845000
2026-02-09 00:34:58,arm,fail,568,unknown,nan,nan,nan
2026-02-09 00:35:18,arm,success,180,red,0.189858,0.162647,0.845000
2026-02-09 00:36:18,arm,fail,560,unknown,nan,nan,nan
2026-02-09 00:36:37,arm,success,161,blue,0.348087,0.036545,0.845000
2026-02-09 00:37:37,arm,fail,571,unknown,nan,nan,nan
2026-02-09 00:38:37,arm,fail,566,unknown,nan,nan,nan
2026-02-09 00:39:37,arm,fail,566,unknown,nan,nan,nan
2026-02-09 00:40:38,arm,fail,576,unknown,nan,nan,nan
2026-02-09 00:41:38,arm,fail,571,unknown,nan,nan,nan
2026-02-09 00:42:38,arm,fail,580,unknown,nan,nan,nan
2026-02-09 00:43:38,arm,fail,576,unknown,nan,nan,nan
2026-02-09 00:44:39,arm,fail,572,unknown,nan,nan,nan
2026-02-09 00:45:39,arm,fail,573,unknown,nan,nan,nan
2026-02-09 00:46:39,arm,fail,575,unknown,nan,nan,nan
2026-02-09 00:47:03,arm,success,216,red,0.244251,0.053304,0.845000
2026-02-09 00:48:04,arm,fail,571,unknown,nan,nan,nan
2026-02-09 00:49:04,arm,fail,571,unknown,nan,nan,nan
2026-02-09 00:50:04,arm,fail,572,unknown,nan,nan,nan
2026-02-09 00:51:04,arm,fail,571,unknown,nan,nan,nan
2026-02-09 11:58:19,arm,fail,581,unknown,nan,nan,nan
2026-02-09 11:58:44,arm,success,220,blue,0.294237,0.189537,0.845000
2026-02-09 11:59:44,arm,fail,566,unknown,nan,nan,nan
2026-02-09 12:00:44,arm,fail,576,unknown,nan,nan,nan
2026-02-09 12:01:08,arm,success,214,red,0.209406,0.136561,0.845000
2026-02-09 12:02:08,arm,fail,571,unknown,nan,nan,nan
2026-02-09 12:03:08,arm,fail,573,unknown,nan,nan,nan
2026-02-09 12:03:33,arm,success,228,red,0.190646,0.161722,0.845000
2026-02-09 12:04:01,arm,success,249,blue,0.282802,0.206211,0.845000
2026-02-09 12:05:01,arm,fail,571,unknown,nan,nan,nan
2026-02-09 12:06:01,arm,fail,587,unknown,nan,nan,nan
2026-02-09 12:07:01,arm,fail,576,unknown,nan,nan,nan
2026-02-09 12:08:01,arm,fail,571,unknown,nan,nan,nan
2026-02-09 12:09:02,arm,fail,572,unknown,nan,nan,nan
2026-02-09 12:10:02,arm,fail,576,unknown,nan,nan,nan
2026-02-09 12:11:02,arm,fail,575,unknown,nan,nan,nan
2026-02-09 12:12:02,arm,fail,576,unknown,nan,nan,nan
2026-02-09 12:13:03,arm,fail,576,unknown,nan,nan,nan
2026-02-09 12:14:03,arm,fail,570,unknown,nan,nan,nan
2026-02-09 12:15:03,arm,fail,570,unknown,nan,nan,nan
2026-02-09 12:16:03,arm,fail,569,unknown,nan,nan,nan
2026-02-09 12:17:03,arm,fail,570,unknown,nan,nan,nan
2026-02-09 12:18:04,arm,fail,571,unknown,nan,nan,nan
2026-02-09 12:18:24,arm,success,178,red,0.202111,0.147144,0.845000
2026-02-09 12:19:24,arm,fail,568,unknown,nan,nan,nan
2026-02-09 12:19:47,arm,success,207,red,0.249855,0.008507,0.845000
2026-02-09 12:20:47,arm,fail,580,unknown,nan,nan,nan
2026-02-09 12:21:47,arm,fail,561,unknown,nan,nan,nan
